"","P","Y","A"
"1",4,5,2
"2",3,3,2
"3",2,3,2
"4",2,5,1
"5",4,5,2
"6",3,5,1
"7",3,3,2
"8",4,5,2
"9",2,2,1
"10",2,3,2
"11",3,4,2
"13",3,4,2
"14",4,3,1
"15",3,4,1
"16",2,3,1
"17",3,5,2
"18",2,2,2
"19",3,5,2
"20",3,4,2
"21",3,4,1
"22",3,3,2
"23",2,5,1
"24",2,3,1
"25",4,5,1
"26",4,5,2
"27",2,5,2
"28",1,2,2
"29",3,5,2
"30",2,5,1
"31",4,3,2
"32",3,5,2
"33",3,5,2
"34",2,5,2
"35",5,5,2
"36",2,3,2
"37",3,5,2
"38",4,5,2
"39",3,5,2
"40",4,5,1
"41",1,4,1
"42",3,5,1
"43",3,4,1
"44",4,5,1
"45",3,4,1
"46",2,5,1
"47",3,4,1
"48",3,4,1
"49",3,5,1
"50",3,5,1
"51",4,5,1
"52",2,1,1
"53",3,5,1
"54",4,5,2
"55",4,5,2
"56",4,5,2
"57",4,5,2
"58",4,5,2
"59",3,4,2
"60",4,3,2
"61",3,3,2
"62",5,5,1
"63",3,5,1
"64",4,5,1
"65",3,5,1
"66",3,5,1
"67",4,4,1
"68",3,5,1
"69",2,3,1
"70",3,5,1
"71",3,5,1
"72",3,5,1
"73",4,5,1
"74",3,5,2
"75",3,4,2
"76",5,5,2
"77",2,3,2
"78",3,4,2
"79",4,5,2
"80",3,5,2
"81",3,5,2
"82",4,5,2
"83",1,4,1
"84",4,5,1
"85",4,5,1
"86",3,4,1
"87",3,4,1
"88",4,3,1
"89",3,5,1
"90",4,5,1
"91",3,3,1
"92",3,5,1
"93",1,3,1
"94",4,4,1
"95",2,4,2
"96",4,4,2
"97",4,5,2
"98",4,4,1
"99",3,2,1
"100",4,5,2
"101",1,5,1
"102",2,5,1
"103",2,3,2
"104",2,2,1
"105",2,4,2
"106",2,2,2
"107",4,5,2
"108",2,3,2
"109",4,5,1
"110",2,4,2
"111",3,5,1
"112",4,5,1
"113",3,4,2
"114",2,4,1
"115",3,2,1
"116",3,5,2
"117",2,4,2
"118",4,4,2
"119",4,5,2
"120",2,4,1
"121",2,3,2
"122",4,5,1
"123",2,2,1
"125",3,4,2
"126",2,2,2
"127",2,4,1
"128",3,5,2
"129",3,4,1
"130",1,1,1
"131",2,3,2
"132",3,3,1
"133",3,4,1
"134",3,4,1
"135",3,5,2
"136",3,4,2
"137",4,5,2
"138",3,4,2
"139",4,5,2
"140",2,5,2
"141",5,5,2
"142",4,5,2
"143",4,5,1
"144",4,5,1
"145",4,5,1
"146",3,4,1
"147",3,4,1
"148",5,5,1
"149",4,5,1
"150",4,5,1
"151",3,4,1
"152",4,5,2
"153",2,3,2
"154",4,4,2
"155",3,3,2
"156",3,4,2
"157",4,5,2
"158",4,5,2
"159",4,5,2
"160",4,5,2
"161",4,5,1
"162",5,5,1
"163",4,5,1
"164",4,5,1
"165",2,4,1
"166",3,5,1
"167",3,4,1
"168",3,5,2
"169",4,4,2
"170",4,5,2
"171",3,3,2
