"","P","Y","A","G"
"395",3,4,2,1
"396",4,5,2,1
"397",2,3,2,1
"398",3,4,2,1
"399",5,5,1,0
"400",1,1,1,0
"401",2,2,1,0
"402",3,4,1,1
"403",4,5,1,1
"404",2,4,1,2
"405",5,4,2,-1
"406",3,4,2,1
"407",4,4,2,0
"408",4,5,1,1
"409",1,3,1,2
"410",4,4,1,0
"411",4,5,1,1
"412",3,4,1,1
"413",4,4,1,0
"414",1,3,1,2
"415",3,4,2,1
"416",3,3,2,0
"417",3,4,2,1
"418",2,5,2,3
"419",3,3,2,0
"420",5,4,2,-1
"421",2,3,2,1
"422",4,4,2,0
"423",5,5,2,0
"424",5,5,2,0
"425",1,3,2,2
"426",4,4,2,0
"427",4,5,2,1
"428",5,5,2,0
"429",3,1,2,-2
"430",3,3,2,0
"431",5,5,2,0
"432",5,5,1,0
"433",5,5,1,0
"434",4,5,1,1
"435",4,5,1,1
"437",3,3,1,0
"438",2,4,1,2
"439",4,4,1,0
"440",3,4,1,1
"441",4,5,1,1
"442",5,2,2,-3
"443",4,4,2,0
"444",5,5,2,0
"445",5,5,2,0
"446",3,5,2,2
"447",5,5,2,0
"448",5,4,2,-1
"449",2,2,2,0
"450",5,4,2,-1
"451",3,4,2,1
"452",5,4,1,-1
"453",5,4,1,-1
"454",5,5,1,0
"455",3,5,1,2
"457",4,4,1,0
"458",4,4,1,0
"459",3,5,1,2
"460",5,5,1,0
"461",2,2,1,0
"462",5,5,2,0
"463",4,3,2,-1
"464",5,5,1,0
"465",4,3,1,-1
"466",3,4,1,1
"467",5,3,1,-2
"468",4,5,2,1
"469",5,5,2,0
"470",5,4,2,-1
"471",3,4,2,1
"472",5,4,2,-1
"473",4,4,2,0
"474",4,4,1,0
"475",2,4,1,2
"476",3,4,1,1
"477",4,5,2,1
"478",2,2,2,0
"479",5,4,2,-1
"480",4,3,1,-1
"481",4,4,2,0
"482",4,4,2,0
"483",5,5,1,0
"484",2,5,2,3
"485",4,5,1,1
"486",2,4,1,2
"487",5,5,1,0
"488",4,5,1,1
"489",2,1,2,-1
"490",2,3,1,1
"491",2,2,2,0
"492",4,4,2,0
"493",2,3,1,1
"494",3,4,2,1
"495",4,5,2,1
"496",3,3,2,0
"497",5,3,2,-2
"498",3,4,1,1
"499",5,4,1,-1
"500",4,5,2,1
"501",2,4,1,2
"502",3,5,1,2
"503",2,5,2,3
"504",2,4,2,2
"505",4,5,2,1
"506",2,1,1,-1
"507",2,2,1,0
"508",5,4,2,-1
"509",2,3,2,1
"510",3,3,2,0
"511",3,4,2,1
"512",4,5,1,1
"513",3,3,2,0
"514",4,3,1,-1
"515",3,4,2,1
"516",4,4,1,0
"517",2,5,1,3
"518",4,5,1,1
"519",1,4,1,3
"520",3,2,1,-1
"521",1,4,1,3
"522",3,4,1,1
"523",5,5,1,0
"524",2,2,1,0
"525",5,4,2,-1
"526",4,5,2,1
"527",4,3,2,-1
"528",2,3,2,1
"529",2,4,2,2
"530",3,4,2,1
"531",3,5,2,2
"532",5,4,2,-1
"533",5,5,2,0
"534",2,4,1,2
"535",5,4,1,-1
"536",2,5,1,3
"537",3,2,1,-1
"538",5,4,1,-1
"539",4,5,1,1
"540",5,4,1,-1
"541",5,5,1,0
"542",5,5,1,0
"543",4,4,1,0
"544",3,2,2,-1
"545",4,5,2,1
"546",4,4,2,0
"547",2,2,2,0
"548",3,3,2,0
"549",3,3,2,0
"550",1,5,2,4
"551",2,5,2,3
"552",5,5,2,0
"553",2,2,2,0
"554",3,4,1,1
"555",5,5,1,0
"556",2,5,1,3
"557",3,5,1,2
"558",2,3,1,1
"559",2,2,1,0
"560",5,4,1,-1
"561",3,4,1,1
"562",5,5,1,0
"563",1,2,1,1
"564",3,3,1,0
"565",2,2,2,0
"566",3,4,2,1
"567",2,4,2,2
"568",2,3,2,1
"569",5,5,2,0
"570",3,2,2,-1
"571",4,4,2,0
"572",5,5,2,0
"573",2,3,2,1
"574",3,4,1,1
"575",5,5,1,0
"576",5,3,1,-2
"577",2,4,1,2
"578",1,2,1,1
"579",5,5,1,0
"580",5,5,1,0
"581",2,3,1,1
"582",5,5,2,0
"583",4,3,2,-1
"584",4,5,2,1
"585",5,3,2,-2
"586",2,3,2,1
"587",4,5,1,1
"588",2,4,1,2
"589",4,4,1,0
"590",5,5,1,0
"593",1,3,1,2
"594",2,2,1,0
"595",2,5,1,3
"596",4,5,2,1
"597",3,1,2,-2
"598",4,4,2,0
"599",4,5,2,1
"600",3,4,2,1
"602",2,5,1,3
"603",5,5,1,0
"604",2,4,1,2
"605",3,4,1,1
"606",4,4,1,0
"608",5,5,1,0
"609",5,5,1,0
"610",5,4,1,-1
"611",5,5,1,0
"612",5,5,2,0
"613",3,5,2,2
"614",4,4,2,0
"615",5,5,2,0
"616",4,4,2,0
"617",5,5,2,0
"618",5,5,2,0
"619",2,2,2,0
"620",3,4,1,1
"621",5,4,2,-1
"622",4,3,2,-1
"623",1,3,1,2
"624",1,2,1,1
"625",3,4,1,1
"626",5,5,1,0
"627",5,5,1,0
"628",4,4,1,0
"629",5,5,1,0
"630",5,5,2,0
"632",4,4,2,0
"633",3,2,1,-1
"634",4,5,2,1
"635",2,4,1,2
"636",5,5,1,0
"637",2,3,1,1
"638",4,5,1,1
"639",5,4,1,-1
"640",5,4,1,-1
"641",2,4,2,2
"642",3,3,1,0
"643",5,5,2,0
"644",3,5,1,2
"645",4,5,1,1
"647",5,5,2,0
"648",5,5,2,0
"649",5,4,2,-1
"650",4,4,2,0
"651",5,5,2,0
"652",5,4,1,-1
"653",4,5,1,1
"654",5,5,1,0
"655",5,4,2,-1
"656",2,4,1,2
"657",3,4,2,1
"658",2,4,2,2
"659",4,4,2,0
"661",4,4,2,0
"662",3,4,2,1
"665",2,3,2,1
"666",3,4,2,1
"667",2,5,2,3
"668",3,3,2,0
"669",3,3,1,0
"670",3,5,1,2
"671",2,2,2,0
"672",1,2,1,1
"673",3,5,1,2
"674",2,2,2,0
"675",5,5,2,0
"676",1,5,1,4
"677",5,4,1,-1
"678",3,4,2,1
"679",2,4,2,2
"680",3,4,2,1
"681",2,4,1,2
"682",2,3,1,1
"683",2,4,1,2
"684",4,5,1,1
"685",2,4,1,2
"686",2,2,1,0
"687",5,5,2,0
"688",2,2,1,0
"689",2,2,1,0
"690",4,5,2,1
"691",2,3,1,1
"692",3,4,2,1
"693",3,5,1,2
"694",3,2,1,-1
"695",3,4,1,1
"696",3,5,2,2
"697",4,5,2,1
"698",3,4,2,1
"699",2,3,2,1
"700",2,4,1,2
"701",3,4,1,1
"702",3,4,2,1
"703",5,4,1,-1
"704",2,4,1,2
"705",5,5,2,0
"706",1,2,1,1
"707",2,3,1,1
"708",3,4,2,1
"709",1,3,2,2
"710",5,5,2,0
"711",3,5,2,2
"712",2,2,2,0
"713",5,5,2,0
"714",5,5,2,0
"715",5,5,2,0
"716",1,1,2,0
"717",3,5,1,2
"718",4,4,1,0
"719",3,4,1,1
"720",3,5,1,2
"721",4,4,1,0
"722",2,3,1,1
"723",3,4,1,1
"725",4,4,1,0
"726",5,4,1,-1
"727",3,4,1,1
"728",4,4,2,0
"729",2,5,2,3
"730",3,4,2,1
"731",4,4,2,0
"732",4,3,2,-1
"733",3,2,2,-1
"734",3,3,2,0
"735",3,4,2,1
"736",2,3,2,1
"737",3,3,2,0
"738",2,3,1,1
"739",2,2,1,0
"740",1,2,1,1
"741",3,4,1,1
"742",4,5,1,1
"743",5,5,1,0
"744",5,5,1,0
"745",3,2,1,-1
"746",1,3,2,2
"747",4,3,2,-1
"748",5,5,2,0
"749",5,4,2,-1
"750",5,2,2,-3
"751",1,1,2,0
"752",3,3,2,0
"753",2,3,1,1
"754",3,4,1,1
"755",3,4,1,1
"756",4,4,1,0
"757",3,4,1,1
"758",2,4,1,2
"759",2,2,1,0
"760",5,3,1,-2
"761",3,4,1,1
"762",2,2,1,0
"763",3,4,1,1
"764",3,3,1,0
"765",4,3,1,-1
"766",4,4,1,0
"767",5,5,1,0
"768",5,4,1,-1
"769",5,4,1,-1
"770",4,5,2,1
"771",2,4,2,2
"772",2,3,2,1
"773",3,4,2,1
"774",4,5,2,1
"775",4,5,1,1
"776",3,5,1,2
"777",3,5,1,2
"778",2,2,1,0
"779",2,3,1,1
"780",5,5,1,0
"781",4,3,2,-1
"782",2,2,2,0
"783",3,3,2,0
"784",5,5,2,0
"785",2,3,2,1
"786",5,5,1,0
"787",3,3,1,0
"788",5,4,1,-1
"789",5,5,1,0
"790",5,4,1,-1
"791",5,5,1,0
"792",5,4,1,-1
"794",4,4,2,0
"795",4,4,2,0
"796",5,5,2,0
"797",4,4,2,0
"798",3,4,2,1
"799",4,5,1,1
"800",4,4,1,0
"801",5,4,1,-1
"802",5,4,1,-1
"803",3,3,1,0
"804",5,5,1,0
"805",1,1,2,0
"806",5,3,2,-2
"807",3,4,2,1
"808",2,3,2,1
"809",2,3,2,1
"810",3,4,2,1
"811",5,5,1,0
"812",5,5,1,0
"813",4,4,1,0
"814",3,3,1,0
"815",5,5,1,0
"816",3,4,1,1
"817",3,5,2,2
"818",5,5,2,0
"819",4,4,2,0
"820",4,4,2,0
"821",4,4,1,0
"822",2,3,1,1
"823",3,3,1,0
"825",5,5,1,0
"826",5,5,1,0
"828",2,2,1,0
"829",5,5,1,0
"830",4,5,2,1
"831",2,3,2,1
"832",4,5,2,1
"833",4,5,2,1
"834",3,5,2,2
"835",2,4,2,2
"836",2,4,2,2
"837",2,4,1,2
"838",2,4,1,2
"839",5,4,1,-1
"840",5,5,1,0
"842",4,5,1,1
"843",2,4,2,2
"844",4,5,2,1
"845",2,4,2,2
"846",2,3,2,1
"847",5,4,2,-1
"848",3,4,1,1
"849",2,3,1,1
"850",4,4,1,0
"851",5,5,1,0
"852",3,4,1,1
"853",4,4,1,0
"854",4,5,2,1
"855",1,3,2,2
"856",4,5,2,1
"857",2,3,2,1
"858",2,5,2,3
"859",2,3,2,1
"860",5,5,2,0
"861",4,4,2,0
"862",1,2,2,1
"863",3,4,2,1
"864",4,4,2,0
"865",2,4,2,2
"866",3,5,2,2
"867",2,4,1,2
"868",5,5,1,0
"869",3,4,1,1
"870",4,5,1,1
"871",3,3,1,0
"872",3,5,1,2
"873",4,5,1,1
"874",4,4,2,0
"875",3,4,2,1
"876",3,4,2,1
"877",5,4,2,-1
"878",2,3,2,1
"879",5,4,2,-1
"880",1,3,2,2
"881",5,5,1,0
"882",3,4,1,1
"883",4,4,2,0
"884",5,5,1,0
"885",4,5,1,1
"886",5,5,1,0
"887",4,4,1,0
"888",3,4,1,1
"889",3,3,1,0
"890",4,5,1,1
"891",2,2,1,0
"892",2,1,1,-1
"893",5,5,1,0
"894",2,5,1,3
"895",5,5,1,0
"896",3,3,1,0
"897",2,3,1,1
"898",3,4,2,1
"899",2,4,2,2
"900",5,4,2,-1
"901",4,4,2,0
"902",5,5,2,0
"903",2,2,2,0
"904",5,5,2,0
"905",2,3,2,1
"906",5,5,2,0
"907",4,5,2,1
"908",2,4,1,2
"909",4,4,1,0
"910",2,3,1,1
"911",5,5,1,0
"912",5,5,1,0
"913",2,1,1,-1
"914",2,5,1,3
"915",5,5,1,0
"917",5,5,1,0
"918",5,5,1,0
"919",4,3,1,-1
"920",2,3,2,1
"921",3,2,2,-1
"922",4,4,2,0
"923",5,4,2,-1
"924",2,3,2,1
"925",5,5,2,0
"926",5,3,2,-2
"927",2,2,2,0
"928",5,5,1,0
"929",3,4,1,1
"930",5,5,1,0
"932",2,3,1,1
"933",2,4,1,2
"934",3,4,2,1
"935",5,5,2,0
"936",2,3,2,1
"937",5,5,2,0
"938",4,5,2,1
"939",5,5,2,0
"940",5,4,2,-1
"941",5,4,2,-1
"942",3,4,2,1
"943",5,4,2,-1
"944",3,5,2,2
"945",5,4,1,-1
"946",3,2,1,-1
"947",1,5,1,4
"948",5,5,1,0
"949",4,5,1,1
"950",2,3,1,1
"951",5,5,1,0
"952",4,5,2,1
"953",4,5,2,1
"954",3,3,2,0
"956",5,3,2,-2
"957",3,5,2,2
"958",4,4,1,0
"959",5,4,1,-1
"961",3,3,1,0
"962",3,3,1,0
"964",3,4,1,1
"965",3,4,2,1
"966",1,2,2,1
"967",5,5,2,0
"969",2,3,1,1
"970",4,4,1,0
"972",4,3,1,-1
"973",5,4,1,-1
"974",2,5,1,3
"975",3,4,1,1
"976",4,5,1,1
"977",5,5,1,0
"978",3,5,2,2
"979",5,5,2,0
"980",4,3,2,-1
"981",4,5,2,1
"982",5,5,1,0
"983",2,2,1,0
"984",4,5,1,1
"985",2,4,1,2
"986",5,5,1,0
"987",1,4,1,3
"988",4,5,2,1
"989",5,4,2,-1
"990",5,5,2,0
"991",4,5,2,1
"992",5,5,2,0
"993",3,4,2,1
"994",2,2,2,0
"995",5,5,2,0
"996",5,4,1,-1
"997",2,2,1,0
"998",4,5,1,1
"999",3,4,1,1
"1000",1,2,1,1
"1001",1,2,1,1
"1002",2,2,1,0
"1003",2,4,1,2
"1004",3,3,1,0
"1005",3,5,1,2
"1006",5,5,2,0
"1007",3,4,2,1
"1008",5,3,2,-2
"1009",2,1,2,-1
"1010",2,2,2,0
"1011",2,5,2,3
"1012",1,3,1,2
"1013",1,4,1,3
"1014",3,4,1,1
"1015",3,4,1,1
"1016",1,3,1,2
"1017",4,3,1,-1
"1018",3,3,1,0
"1019",2,4,2,2
"1020",3,4,2,1
"1021",2,4,2,2
"1022",1,5,2,4
"1023",3,3,2,0
"1024",5,5,2,0
"1025",3,3,2,0
"1026",5,5,2,0
"1027",4,5,2,1
"1028",2,2,1,0
"1029",3,4,2,1
"1030",3,4,2,1
"1031",1,2,2,1
"1032",2,2,1,0
"1033",3,5,2,2
"1034",2,3,2,1
"1035",2,3,1,1
"1036",2,4,2,2
"1037",1,4,1,3
"1038",3,4,1,1
"1039",2,3,1,1
"1040",2,3,1,1
"1041",2,4,1,2
"1043",2,5,2,3
"1044",3,4,2,1
"1045",4,4,2,0
"1046",4,4,1,0
"1047",1,5,1,4
"1048",1,5,2,4
"1049",4,4,2,0
"1050",4,4,1,0
"1051",2,3,2,1
"1052",2,4,1,2
"1053",2,3,2,1
"1054",3,3,1,0
"1055",3,3,1,0
"1056",1,2,1,1
"1057",4,5,2,1
"1058",3,3,2,0
"1059",4,5,1,1
"1060",2,3,2,1
"1061",5,5,1,0
"1062",2,2,2,0
"1063",2,5,1,3
"1064",3,4,1,1
"1065",4,4,1,0
"1066",2,3,2,1
"1067",2,4,1,2
"1068",1,3,1,2
"1069",4,4,1,0
"1070",2,4,2,2
"1071",5,5,2,0
"1072",2,4,1,2
"1073",4,4,1,0
"1074",5,4,1,-1
"1075",2,4,1,2
"1076",3,4,1,1
"1077",3,5,1,2
"1078",4,5,1,1
"1079",2,2,1,0
"1080",4,4,1,0
"1081",3,5,2,2
"1082",3,4,2,1
"1083",1,2,2,1
"1084",5,5,2,0
"1086",5,5,2,0
"1087",4,4,2,0
"1088",5,4,1,-1
"1089",3,4,1,1
"1090",4,5,1,1
"1091",4,4,1,0
"1092",5,4,1,-1
"1093",5,5,1,0
"1094",2,2,1,0
"1095",2,3,1,1
"1096",4,4,1,0
"1097",3,5,2,2
"1098",4,2,2,-2
"1099",5,5,2,0
"1100",4,4,2,0
"1101",3,3,2,0
"1102",5,5,2,0
"1103",5,5,1,0
"1104",2,4,1,2
"1105",3,4,1,1
"1106",4,5,1,1
"1107",3,4,1,1
"1108",4,4,1,0
"1110",4,5,1,1
"1111",3,3,1,0
"1112",4,4,2,0
"1113",4,5,2,1
"1114",5,5,2,0
"1115",5,5,2,0
"1116",5,5,2,0
"1117",5,4,2,-1
"1118",2,2,2,0
"1119",4,5,2,1
"1120",5,4,2,-1
"1121",5,5,2,0
"1122",2,4,1,2
"1123",4,4,1,0
"1124",2,4,1,2
"1125",3,4,1,1
"1126",2,3,1,1
"1127",2,3,2,1
"1128",5,5,1,0
"1129",3,4,1,1
"1130",5,5,2,0
"1131",1,3,1,2
"1132",4,5,2,1
"1133",1,1,2,0
"1134",4,5,1,1
"1135",2,1,1,-1
"1136",5,5,2,0
"1137",2,4,2,2
"1138",3,3,2,0
"1139",1,3,1,2
"1140",3,5,2,2
"1141",3,4,2,1
"1142",5,4,2,-1
"1143",1,1,2,0
"1144",2,4,1,2
"1145",2,4,2,2
"1146",4,5,1,1
"1147",1,3,2,2
"1148",3,4,1,1
"1149",4,4,1,0
"1150",3,3,2,0
"1151",2,3,1,1
"1152",5,5,1,0
"1153",4,5,1,1
"1154",4,5,2,1
"1155",2,3,1,1
"1156",2,4,1,2
"1157",3,4,2,1
"1158",3,3,2,0
"1159",4,5,1,1
"1160",2,2,2,0
"1161",4,4,2,0
"1162",5,4,2,-1
"1163",2,4,1,2
"1164",4,4,1,0
"1165",2,3,1,1
"1166",4,5,1,1
"1167",2,2,1,0
"1168",2,4,1,2
"1169",5,5,1,0
"1170",5,5,1,0
"1171",5,4,1,-1
"1172",4,5,1,1
"1173",4,4,2,0
"1174",3,3,2,0
"1175",4,4,2,0
"1177",2,3,2,1
"1178",3,4,2,1
"1179",5,5,2,0
"1180",2,2,2,0
"1181",2,4,1,2
"1182",2,3,2,1
"1184",3,3,2,0
"1185",2,3,1,1
"1186",3,4,1,1
"1188",1,4,1,3
"1189",5,5,1,0
"1190",5,5,1,0
"1191",5,5,1,0
"1192",4,5,2,1
"1194",3,3,2,0
"1195",2,5,2,3
"1196",4,5,2,1
"1197",4,4,2,0
"1198",5,5,2,0
"1199",1,2,2,1
"1200",4,5,2,1
"1201",2,4,1,2
"1202",4,4,1,0
"1203",2,5,1,3
"1204",2,4,1,2
"1205",3,4,1,1
"1206",5,4,1,-1
"1207",1,1,1,0
"1208",5,5,1,0
"1209",1,4,1,3
"1210",5,5,1,0
"1211",4,4,2,0
"1212",2,5,2,3
"1213",3,2,2,-1
"1214",2,1,2,-1
"1215",1,2,2,1
"1216",5,5,2,0
"1217",1,2,2,1
"1218",3,3,2,0
"1220",1,3,2,2
"1221",5,5,2,0
"1222",2,3,1,1
"1223",2,4,1,2
"1224",3,5,1,2
"1225",5,4,1,-1
"1226",4,4,1,0
"1227",4,5,1,1
"1228",2,4,1,2
"1229",4,5,1,1
"1230",3,4,2,1
"1231",2,3,2,1
"1232",4,4,2,0
"1233",2,5,2,3
"1234",3,4,2,1
"1235",4,4,1,0
"1236",4,4,2,0
"1237",3,4,2,1
"1238",4,5,2,1
"1239",3,4,2,1
"1240",2,5,2,3
"1241",5,4,2,-1
"1242",4,4,1,0
"1243",5,4,1,-1
"1244",4,5,1,1
"1245",4,4,1,0
"1246",3,4,1,1
"1247",2,4,1,2
"1248",5,3,1,-2
"1249",4,3,1,-1
"1250",4,5,2,1
"1251",4,4,2,0
"1252",3,4,2,1
"1253",3,3,2,0
"1254",3,3,2,0
"1255",4,4,2,0
"1256",3,2,2,-1
"1257",1,4,1,3
"1258",5,4,2,-1
"1259",2,4,2,2
"1260",2,3,2,1
"1261",3,4,2,1
"1262",4,5,2,1
"1263",5,5,2,0
"1264",5,5,2,0
"1265",3,5,2,2
"1266",2,4,2,2
"1267",4,3,1,-1
"1268",5,5,1,0
"1269",3,3,1,0
"1270",5,5,1,0
"1271",5,5,1,0
"1272",5,5,1,0
"1273",4,4,1,0
"1274",2,3,1,1
"1275",4,5,1,1
"1276",2,2,1,0
"1277",4,3,2,-1
"1278",4,5,2,1
"1279",5,5,2,0
"1280",3,5,2,2
"1281",2,2,2,0
"1282",3,5,2,2
"1283",3,4,2,1
"1284",4,4,1,0
"1285",5,5,1,0
"1286",5,1,1,-4
"1287",2,3,1,1
"1288",3,4,1,1
"1289",5,4,1,-1
"1290",4,5,1,1
"1291",5,5,1,0
"1292",2,3,1,1
"1293",5,5,1,0
"1294",3,5,1,2
"1295",5,5,1,0
"1296",5,5,1,0
"1297",2,3,1,1
"1298",1,4,1,3
"1299",2,4,1,2
"1300",4,5,1,1
"1301",5,4,1,-1
