"","P","Y","A","G"
"1",3,2,2,-1
"2",2,3,2,1
"3",2,5,2,3
"4",2,3,1,1
"5",3,4,2,1
"6",3,4,1,1
"7",3,3,2,0
"8",3,4,2,1
"9",4,5,2,1
"10",4,4,2,0
"11",3,4,1,1
"12",3,4,1,1
"13",2,2,2,0
"14",2,4,2,2
"15",4,5,2,1
"16",3,4,2,1
"17",4,4,1,0
"18",2,4,2,2
"19",2,3,1,1
"20",3,4,1,1
"21",5,5,1,0
"22",5,5,2,0
"23",1,3,2,2
"24",1,2,2,1
"26",2,4,2,2
"27",3,5,2,2
"29",5,5,2,0
"30",2,2,2,0
"31",3,4,2,1
"32",5,5,2,0
"33",2,4,2,2
"34",3,4,1,1
"35",2,5,1,3
"36",3,4,1,1
"37",4,4,1,0
"38",2,4,1,2
"39",4,4,1,0
"40",2,5,1,3
"41",3,4,1,1
"42",5,4,1,-1
"43",2,3,1,1
"44",2,3,1,1
"45",5,5,1,0
"46",4,5,2,1
"47",4,4,2,0
"48",5,5,2,0
"49",5,4,2,-1
"50",5,5,2,0
"51",2,3,2,1
"52",5,4,2,-1
"53",5,3,1,-2
"54",4,4,1,0
"55",4,5,1,1
"56",2,5,1,3
"57",2,4,1,2
"58",3,3,1,0
"59",2,4,1,2
"60",3,5,1,2
"61",3,4,1,1
"62",5,5,1,0
"63",5,5,2,0
"64",4,4,2,0
"65",2,3,2,1
"66",5,4,2,-1
"67",3,5,2,2
"68",5,5,2,0
"69",4,5,2,1
"70",2,1,1,-1
"71",2,5,1,3
"72",4,4,1,0
"73",2,4,1,2
"74",3,5,1,2
"75",4,5,1,1
"76",2,4,1,2
"77",4,5,1,1
"78",2,3,1,1
"79",3,4,1,1
"80",2,3,2,1
"81",4,5,2,1
"82",5,5,2,0
"84",2,2,2,0
"85",2,3,1,1
"86",2,4,2,2
"87",4,5,2,1
"88",5,5,2,0
"89",3,5,2,2
"90",2,3,2,1
"91",2,3,1,1
"92",5,5,1,0
"94",2,4,1,2
"95",2,5,1,3
"96",3,5,2,2
"97",3,5,2,2
"99",3,5,2,2
"100",2,5,1,3
"101",2,3,2,1
"102",4,5,1,1
"103",1,4,1,3
"104",2,3,2,1
"105",2,5,2,3
"106",2,4,2,2
"107",2,3,1,1
"109",2,4,1,2
"110",2,1,1,-1
"112",3,5,1,2
"113",3,3,1,0
"114",3,4,2,1
"115",3,4,1,1
"116",2,3,1,1
"117",4,4,2,0
"118",2,1,2,-1
"119",4,5,2,1
"120",2,4,1,2
"121",2,4,1,2
"122",2,2,1,0
"123",2,3,1,1
"124",4,4,1,0
"125",2,4,1,2
"126",3,3,1,0
"127",1,4,1,3
"128",4,5,1,1
"129",2,3,1,1
"130",1,2,1,1
"131",3,4,1,1
"132",2,3,1,1
"133",2,4,1,2
"134",3,5,1,2
"135",3,4,1,1
"136",4,4,2,0
"137",4,4,2,0
"138",1,2,2,1
"139",4,4,2,0
"140",5,5,2,0
"141",5,5,2,0
"142",5,5,2,0
"143",3,4,2,1
"144",1,2,2,1
"145",5,5,2,0
"146",3,3,2,0
"147",1,5,1,4
"148",4,4,1,0
"149",2,3,1,1
"150",2,4,1,2
"151",3,4,1,1
"152",5,4,1,-1
"153",5,5,1,0
"154",5,5,1,0
"155",5,5,1,0
"156",5,5,1,0
"157",5,5,1,0
"158",4,5,2,1
"159",5,5,2,0
"160",1,2,2,1
"161",2,4,2,2
"162",3,5,2,2
"163",4,4,2,0
"164",4,4,2,0
"165",4,4,2,0
"166",5,5,2,0
"167",4,3,2,-1
"168",3,4,1,1
"169",5,5,1,0
"170",5,4,1,-1
"171",4,5,1,1
"172",3,5,1,2
"173",4,5,1,1
"174",5,5,1,0
"175",5,5,1,0
"176",4,3,2,-1
"177",5,5,2,0
"178",5,5,2,0
"179",3,5,2,2
"180",4,4,2,0
"181",4,5,2,1
"182",5,5,2,0
"183",5,5,2,0
"184",4,5,2,1
"185",2,4,2,2
"186",2,4,2,2
"188",5,5,2,0
"189",5,5,1,0
"190",1,1,2,0
"191",2,4,1,2
"192",2,5,2,3
"193",3,3,1,0
"194",4,5,1,1
"195",4,4,1,0
"196",5,5,1,0
"197",2,4,2,2
"198",2,1,1,-1
"199",2,4,1,2
"200",2,4,2,2
"201",3,5,2,2
"202",3,4,2,1
"203",3,5,2,2
"204",2,4,2,2
"205",3,4,2,1
"206",4,5,2,1
"207",3,3,1,0
"208",1,1,2,0
"209",2,4,2,2
"210",3,4,2,1
"211",4,4,2,0
"212",2,3,2,1
"213",2,3,2,1
"214",3,4,1,1
"216",5,5,1,0
"217",3,4,1,1
"219",2,4,1,2
"220",3,4,2,1
"222",5,5,1,0
"223",5,5,2,0
"225",3,5,2,2
"226",5,5,2,0
"227",3,5,1,2
"228",4,5,2,1
"230",1,5,1,4
"231",1,3,2,2
"232",5,5,2,0
"233",5,5,1,0
"234",4,5,1,1
"235",2,2,1,0
"236",1,2,1,1
"237",5,5,1,0
"238",3,5,1,2
"239",3,5,1,2
"241",3,3,2,0
"242",3,5,2,2
"243",2,3,2,1
"244",3,4,2,1
"245",2,4,1,2
"246",3,4,2,1
"247",3,2,2,-1
"248",2,3,2,1
"249",2,2,1,0
"250",4,5,1,1
"251",5,5,1,0
"252",3,4,1,1
"253",2,3,1,1
"254",2,2,1,0
"255",3,3,1,0
"256",2,5,1,3
"257",5,5,1,0
"258",5,5,1,0
"259",3,5,1,2
"260",4,5,1,1
"261",1,5,2,4
"262",3,4,2,1
"263",5,5,2,0
"264",1,3,1,2
"265",2,1,2,-1
"266",3,2,2,-1
"267",5,5,2,0
"268",3,3,2,0
"269",2,3,2,1
"270",2,5,1,3
"271",3,5,1,2
"272",4,4,1,0
"273",5,5,1,0
"275",2,5,1,3
"276",4,5,1,1
"277",2,5,1,3
"278",2,3,1,1
"279",1,4,1,3
"280",2,1,2,-1
"281",5,5,2,0
"282",3,4,2,1
"283",3,5,2,2
"284",2,4,2,2
"285",2,5,1,3
"286",3,3,2,0
"287",2,5,2,3
"288",5,5,1,0
"289",4,5,1,1
"291",2,3,1,1
"294",3,3,2,0
"297",2,4,2,2
"298",5,5,2,0
"299",5,5,1,0
"300",3,3,2,0
"302",3,4,2,1
"303",3,3,2,0
"304",2,1,2,-1
"305",4,5,1,1
"307",3,3,1,0
"310",4,5,1,1
"312",5,5,1,0
"317",3,4,2,1
"318",2,3,2,1
"319",5,5,1,0
"320",5,5,1,0
"321",1,2,1,1
"325",4,5,1,1
"326",4,4,2,0
"331",2,3,2,1
"332",2,2,2,0
"333",3,5,2,2
"335",4,4,2,0
"336",3,5,2,2
"337",3,4,1,1
"338",5,5,2,0
"339",1,5,1,4
"340",2,4,2,2
"341",4,5,1,1
"342",5,4,1,-1
"343",2,3,2,1
"344",1,4,2,3
"345",3,3,2,0
"346",4,4,1,0
"347",3,3,1,0
"348",2,3,2,1
"349",3,5,1,2
"350",5,4,1,-1
"351",5,5,2,0
"352",5,5,1,0
"353",2,3,2,1
"354",5,4,2,-1
"355",3,5,1,2
"356",2,3,1,1
"358",4,4,1,0
"359",4,4,2,0
"360",2,5,1,3
"361",3,5,2,2
"362",3,4,2,1
"363",4,4,2,0
"364",4,2,2,-2
"365",5,3,1,-2
"366",4,4,1,0
"368",2,3,1,1
"369",3,4,2,1
"370",5,5,2,0
"371",4,4,1,0
"372",3,2,1,-1
"373",3,5,1,2
"374",5,5,2,0
"375",3,4,1,1
"376",4,5,1,1
"377",2,4,1,2
"378",4,4,2,0
"379",4,5,2,1
"380",3,2,2,-1
"382",5,3,1,-2
"383",4,5,2,1
"384",2,4,1,2
"385",2,3,2,1
"386",4,5,1,1
"387",5,3,1,-2
"388",2,3,1,1
"389",3,4,1,1
"390",5,4,1,-1
"391",4,4,1,0
"392",2,2,1,0
"393",3,2,1,-1
"394",3,5,2,2
