"","P","Y","A","G"
"289",3,5,2,2
"290",2,3,2,1
"291",3,5,1,2
"292",4,4,1,0
"293",4,5,1,1
"294",5,5,1,0
"295",3,4,1,1
"296",3,5,1,2
"297",5,5,1,0
"298",2,5,1,3
"299",3,5,1,2
"300",1,5,1,4
"301",2,3,2,1
"302",3,3,2,0
"303",5,5,2,0
"304",2,5,2,3
"305",3,4,2,1
"306",4,4,2,0
"307",5,4,2,-1
"308",4,5,2,1
"309",3,5,2,2
"310",4,4,1,0
"311",4,5,1,1
"312",3,4,1,1
"313",2,3,1,1
"314",2,5,1,3
"315",3,4,1,1
"316",4,5,2,1
"317",2,4,2,2
"318",4,5,2,1
"319",2,5,2,3
"320",4,4,2,0
"321",5,5,2,0
"322",4,4,2,0
"323",5,4,2,-1
"324",3,4,2,1
"325",4,5,2,1
"326",4,5,2,1
"327",5,5,1,0
"328",2,4,1,2
"329",4,5,1,1
"330",3,5,1,2
"331",2,3,1,1
"332",3,5,1,2
"333",2,3,1,1
"334",4,5,1,1
"335",4,5,2,1
"336",4,5,2,1
"337",3,3,2,0
"338",5,5,2,0
"339",4,5,2,1
"340",1,1,2,0
"341",2,4,2,2
"342",5,5,2,0
"343",2,3,1,1
"344",4,5,1,1
"345",2,4,1,2
"346",1,1,1,0
"347",3,5,1,2
"348",3,3,1,0
"349",3,4,1,1
"350",4,5,2,1
"351",4,4,2,0
"352",3,4,2,1
"353",3,3,2,0
"354",3,4,2,1
"355",3,5,2,2
"356",2,1,2,-1
"357",4,5,2,1
"358",2,3,2,1
"359",3,3,1,0
"360",4,5,2,1
"361",2,3,1,1
"362",2,3,2,1
"363",4,4,1,0
"364",3,5,1,2
"365",2,4,2,2
"366",5,5,1,0
"367",2,4,2,2
"368",3,5,2,2
"369",4,5,1,1
"370",3,4,1,1
"371",2,2,2,0
"372",2,2,2,0
"373",4,5,1,1
"374",5,5,1,0
"375",5,5,2,0
"376",5,5,1,0
"377",3,3,2,0
"378",5,5,2,0
"379",4,5,1,1
